slug,name,url,category,builder,frontend,hosting,cdn,cms,analytics,pixels,payments,chat,consent,auth_visible,fonts,app_links,confidence,status,evidence
linear,Linear,https://linear.app/,saas,next,react,unknown,cloudflare,sanity,ga4|posthog,none,stripe,zendesk,none,none,unknown,none,high,ok,builder:next; frontend:react; cdn:cloudflare; cms:sanity; analytics:ga4; analytics:posthog; payments:stripe; chat:zendesk
bevel,Bevel,https://www.bevel.health/,health,webflow,unknown,unknown,cloudflare|cloudfront,none,ga4|gtm,meta|tiktok|linkedin,none,none,none,none,unknown,ios,high,ok,builder:webflow; cdn:cloudflare; cdn:cloudfront; analytics:ga4; analytics:gtm; pixels:meta; pixels:tiktok; pixels:linkedin; app_links:ios
ultrahuman,Ultrahuman,https://www.ultrahuman.com/us/,health,next,react,vercel,none,contentful,ga4|gtm,google-ads,none,none,none,none,adobe,ios|android,high,ok,builder:next; frontend:react; hosting:vercel; cms:contentful; analytics:ga4; analytics:gtm; pixels:google-ads; fonts:adobe; app_links:ios; app_links:android
oura,Oura,https://ouraring.com/,health,next,react,unknown,cloudfront,none,ga4|segment|amplitude,none,none,zendesk,onetrust,none,unknown,none,high,ok,builder:next; frontend:react; cdn:cloudfront; analytics:ga4; analytics:segment; analytics:amplitude; chat:zendesk; consent:onetrust
whoop,Whoop,https://www.whoop.com/us/en/,health,next,react,unknown,cloudflare|cloudfront,contentful,ga4|gtm|segment|amplitude,tiktok|linkedin|twitter|google-ads,none,intercom,onetrust,none,google|adobe,none,high,ok,builder:next; builder:shopify; frontend:react; cdn:cloudflare; cdn:cloudfront; cms:contentful; analytics:ga4; analytics:gtm; analytics:segment; analytics:amplitude; pixels:tiktok; pixels:linkedin; pixels:twitter; pixels:google-ads; chat:intercom; consent:onetrust; fonts:google; fonts:adobe
lykon,Lykon,https://www.lykon.de/,health,shopify,unknown,unknown,cloudflare,contentful,ga4|gtm|amplitude,google-ads,paypal,zendesk,none,none,unknown,ios|android,high,ok,builder:shopify; cdn:cloudflare; cms:contentful; analytics:ga4; analytics:gtm; analytics:amplitude; pixels:google-ads; payments:paypal; chat:zendesk; app_links:ios; app_links:android
function-health,Function Health,https://www.functionhealth.com/,health,astro,svelte,vercel,cloudflare,sanity,ga4|mixpanel,google-ads,none,intercom,none,none,google,ios|android,high,ok,builder:astro; builder:webflow; frontend:svelte; hosting:vercel; cdn:cloudflare; cms:sanity; analytics:ga4; analytics:mixpanel; pixels:google-ads; chat:intercom; fonts:google; app_links:ios; app_links:android
superpower,Superpower,https://superpower.com/,health,webflow,unknown,unknown,cloudflare|cloudfront,none,ga4|gtm|segment|mixpanel|posthog,meta,none,none,none,none,adobe,none,high,ok,builder:webflow; cdn:cloudflare; cdn:cloudfront; analytics:ga4; analytics:gtm; analytics:segment; analytics:mixpanel; analytics:posthog; pixels:meta; fonts:adobe
siphox,SiPhox Health,https://siphoxhealth.com/,health,next,react,vercel,none,sanity,ga4,none,none,zendesk,none,none,unknown,none,high,ok,builder:next; frontend:react; hosting:vercel; cms:sanity; analytics:ga4; chat:zendesk
levels,Levels,https://www.levelshealth.com/,health,next,react,unknown,cloudflare,none,ga4|gtm|posthog,none,none,none,none,none,unknown,none,high,ok,builder:next; frontend:react; cdn:cloudflare; analytics:ga4; analytics:gtm; analytics:posthog
eight-sleep,Eight Sleep,https://www.eightsleep.com/,health,next,react,vercel,none,none,ga4|mixpanel,none,none,none,none,none,unknown,none,high,ok,builder:next; frontend:react; hosting:vercel; analytics:ga4; analytics:mixpanel
framer,Framer,https://www.framer.com/,saas,framer,unknown,unknown,none,none,ga4|gtm,none,none,none,none,none,google,none,high,ok,builder:framer; builder:shopify; analytics:ga4; analytics:gtm; fonts:google
cerascreen,cerascreen,https://www.cerascreen.de/,health,shopify,unknown,unknown,cloudflare|cloudfront,none,ga4|gtm|clarity,none,none,none,none,none,unknown,ios|android,high,ok,builder:shopify; cdn:cloudflare; cdn:cloudfront; analytics:ga4; analytics:gtm; analytics:clarity; app_links:ios; app_links:android
insidetracker,InsideTracker,https://www.insidetracker.com/,health,next,react,unknown,none,none,ga4|mixpanel|amplitude|hotjar,meta|twitter,none,hubspot,none,none,google,none,high,ok,builder:next; builder:shopify; frontend:react; analytics:ga4; analytics:mixpanel; analytics:amplitude; analytics:hotjar; pixels:meta; pixels:twitter; chat:hubspot; fonts:google
zoe,ZOE,https://zoe.com/,health,next,react,vercel,none,dato,ga4|gtm,none,none,none,none,none,unknown,ios|android,high,redirect,builder:next; builder:framer; frontend:react; hosting:vercel; cms:dato; analytics:ga4; analytics:gtm; app_links:ios; app_links:android; final=https://zoe.com/en-us
numan,Numan,https://www.numan.com/,health,next,react,unknown,cloudflare,none,ga4|gtm|mixpanel|amplitude|hotjar|clarity,meta|tiktok|google-ads,none,intercom,none,none,google,ios|android,high,ok,builder:next; frontend:react; cdn:cloudflare; analytics:ga4; analytics:gtm; analytics:mixpanel; analytics:amplitude; analytics:hotjar; analytics:clarity; pixels:meta; pixels:tiktok; pixels:google-ads; chat:intercom; fonts:google; app_links:ios; app_links:android
medichecks,Medichecks,https://www.medichecks.com/,health,shopify,unknown,unknown,cloudflare|cloudfront,none,ga4|gtm|hotjar,none,none,zendesk,cookiebot,none,unknown,none,high,ok,builder:shopify; cdn:cloudflare; cdn:cloudfront; analytics:ga4; analytics:gtm; analytics:hotjar; chat:zendesk; consent:cookiebot
future,Future,https://www.future.co/,health,next,react,unknown,cloudfront,none,ga4|gtm|amplitude,none,stripe,none,osano,none,unknown,none,high,redirect,builder:next; frontend:react; cdn:cloudfront; analytics:ga4; analytics:gtm; analytics:amplitude; payments:stripe; consent:osano; final=https://future.co/
clay-health,Clay Health,https://www.joinclay.com/,health,next,react,unknown,cloudfront,none,ga4,none,none,none,none,none,unknown,none,medium,ok,builder:next; frontend:react; cdn:cloudfront; analytics:ga4
