site,url,hero_type,hero_has_human,color_mode,color_chroma,color_temperature,color_field,color_accent,levers,hook_one_liner,trust_move,desire_move,confidence,evidence_notes
Bevel,https://www.bevel.health/,product-ui,no,light,muted,cool,clinical-white,CTA-only,social-proof-numbers|competence-precision|product-as-demo|one-sentence-promise|single-cta,Unifies wearable and lab data into one connected health coach app shown on phone and watch.,4.8 / 49.1K global ratings displayed directly under the download CTA.,"Live app UI demo of strain, recovery, and sleep metrics promises actionable clarity from your body's signals.",high,Light gray field with subtle rainbow gradient behind smartphone and smartwatch product mockups; no human in hero.
Ultrahuman,https://www.ultrahuman.com/us/,typography-led,no,light,muted,cool,clinical-white,identity-color,competence-precision|specificity-named-method|scarcity-exclusivity|one-sentence-promise|single-cta,Announces Ring PRO as a new launch with performance-by-design positioning and pre-order urgency.,"Technical product naming (Ring PRO, Blood Vision, M2 CGM) and precision framing in nav and copy.",NEW LAUNCH badge and bright blue Pre-order now CTA drive early-access desire on minimal white hero.,high,First viewport is text-only on white; digest indicates ring product image at page top but not visible in screenshot (Loading placeholder in digest).
Oura,https://ouraring.com/,product-ui,no,light,muted,warm,editorial-paper,none,identity-aspiration|one-sentence-promise|product-as-demo|specificity-named-method,Positions Oura Ring 4 as the world's smallest smart ring through elegant product photography.,HSA/FSA funds banner at top signals recognized health-device legitimacy.,Subtle. Power. headline and ladybug scale metaphor sell discreet premium wearable aspiration.,high,Gold ring on volcanic rock with visible internal sensors; beige editorial paper field; no human in hero.
Whoop,https://www.whoop.com/us/en/,typography-led,no,light,muted,cool,clinical-white,none,,Live homepage blocked by Cloudflare verification in this capture environment.,Not observable on live capture.,Not observable on live capture.,low,Cloudflare bot wall only; no marketing coding possible from live public homepage at capture time.
Lykon,https://www.lykon.de/,human-photo,yes,split,muted,mixed,brand-color-field,identity-color,warmth-belonging|identity-aspiration|transformation|product-as-demo|one-sentence-promise|single-cta|regulatory-prevention,Promises personalized nutrition unique to you via at-home testing and tailored recommendations.,"Top banner guarantees (30-day money-back, free shipping, fast delivery) plus Science nav link.",Warm portrait of healthy woman and app UI with named tests sell individualized nutrition transformation.,high,Split layout: light blue hero with human photo above white section showing product boxes and smartphone app demo.
Function Health,https://www.functionhealth.com/,typography-led,no,dark,muted,warm,tech-black,identity-color,competence-precision|specificity-named-method|regulatory-prevention|one-sentence-promise|single-cta,Offers annual whole-body lab testing at $1 per day to detect thousands of conditions early.,"Specific counts (160+ lab tests, 1000+ conditions, tested 2x per year) and HSA/FSA eligibility badge.",Check your health. serif headline on black field frames prevention as a premium annual ritual.,high,Dark charcoal hero with cream serif typography and terracotta CTA; no imagery in first viewport.
Superpower,https://superpower.com/,mixed,yes,dark,muted,cool,tech-black,CTA-only,authority|social-proof-logos|social-proof-numbers|transformation|regulatory-prevention|one-sentence-promise|product-as-demo,"Lead modal offers free physician-designed protocols for energy, heart health, and slowing aging.","Stanford, Harvard Medical School, UCSF, and Oxford logos plus Join 150,000+ others count.","Phone-in-hands app demo and outcome bullets (improve energy, reduce heart attack risk) drive email capture.",high,mixed: product-ui modal dominates over dark background membership page; physician headshots and hands visible in modal.
SiPhox Health,https://siphoxhealth.com/,typography-led,no,dark,saturated,mixed,tech-black,identity-color,social-proof-numbers|authority|warmth-belonging|regulatory-promotion|one-sentence-promise|regulatory-prevention|single-cta,Promises fast painless at-home blood testing with clear insights and no needles or lab visits.,1M+ biomarkers tested stat and CLIA & CAP accredited labs badge with five-star testimonial cards.,Teal Start testing $124 CTA and no-needles checklist remove friction from traditional blood draws.,high,Dark near-black hero with large typography; orange Painless accent and cyan CTA; testimonial cards in viewport.
Levels,https://www.levelshealth.com/,typography-led,no,dark,muted,cool,tech-black,CTA-only,authority|competence-precision|one-sentence-promise|transformation,Claims metabolic health authority and promises to show how food affects your body.,THE MOST TRUSTED NAME IN METABOLIC HEALTH eyebrow and metabolic-health specificity in subcopy.,See how food affects your health. headline and personalized plan CTA promise energy and appetite gains.,high,Pure black typography hero with white serif headline; digest notes video at top but not visible in screenshot.
Eight Sleep,https://www.eightsleep.com/,typography-led,no,dark,muted,cool,tech-black,CTA-only,one-sentence-promise|scarcity-exclusivity|regulatory-promotion|ritual-lifestyle|single-cta,Labor Day sale pitch for deep personalized sleep via the Pod cooling system.,HSA/FSA Eligible checkmark below CTA adds financial-health legitimacy.,Designed for deep sleep. Personalized to you. plus save up to $300 scarcity framing on black field.,high,Black hero with white typography only; digest indicates hero video but no product imagery visible in screenshot.
cerascreen,https://www.cerascreen.de/,human-photo,yes,light,muted,warm,clinical-white,identity-color,social-proof-numbers|social-proof-logos|competence-precision|one-sentence-promise|transformation|ritual-lifestyle,Modern lab analysis at home promising clarity for your health through test kits.,4.73/5 star rating and Financial Times logo in social proof bar below hero.,Smiling active woman in golden-hour photo sells healthy lifestyle transformation via home testing.,high,"Cookie consent modal partially obscures hero but H1, CTA, rating, and human photo remain visible; green identity color."
