site,url,hero_type,hero_has_human,color_mode,color_chroma,color_temperature,color_field,color_accent,levers,hook_one_liner,trust_move,desire_move,confidence,evidence_notes
Linear,https://linear.app/,mixed:product-ui+typography-led (product-ui dominates),no,dark,muted,cool,tech-black,CTA-only,competence-precision|identity-aspiration|regulatory-promotion|product-as-demo|one-sentence-promise,Linear verspricht ein Produktentwicklungssystem für Teams und KI-Agenten in einem Satz.,"Die detaillierte Issue-Oberfläche mit Status, Labels und Agentenaktivität inszeniert Fiske-Kompetenz.",Der sichtbare Agenten-Workflow aktiviert Higgins’ Promotionsfokus auf schnelleres Shippen in der KI-Ära.,high,Erste Viewport-Aufnahme zeigte nur Navigation; Scrollbild und Extrakt belegen Headline plus große dunkle Produktdemo.
Framer,https://www.framer.com/,mixed:video-loop+product-ui (video-loop dominates),no,dark,saturated,cool,tech-black,identity-color,social-proof-numbers|competence-precision|identity-aspiration|transformation|regulatory-promotion|product-as-demo|one-sentence-promise,Framer positioniert sich als Designagent vom ersten Entwurf bis zum Launch.,Die OpenRouter-Platzierung und der Token-Zähler liefern numerische Kompetenzsignale.,Die leuchtende Agenten-Demo macht den Weg von der Idee zur Live-Site als Promotion-Gewinn erlebbar.,high,"Dunkler Hero mit Play-Button, blau leuchtendem Chat-UI und zwei Einstiegs-CTAs."
Vercel,https://vercel.com/,typography-led,no,light,muted,cool,clinical-white,CTA-only,authority|social-proof-logos|competence-precision|identity-aspiration|regulatory-promotion|one-sentence-promise,Vercel verdichtet das Angebot auf den Satz Agentic Infrastructure.,"Logos von OpenAI, DoorDash und weiteren Marken übertragen Autorität auf die knappe Botschaft.","Drei Einsatzfelder (coding agents, ship, automated) aktivieren den Promotionsfokus auf skalierbares Bauen.",high,"Weißer Typografie-Hero, graues Punkt-Dreieck, zwei CTAs und eine sichtbare Kundenleiste."
Mercury,https://mercury.com/,video-loop,no,split,muted,cool,other (cinematic-landscape),CTA-only,privacy-safety|specificity-named-method|identity-aspiration|transformation|one-sentence-promise,Mercury inszeniert Banking als radikal andere Gründererfahrung.,FDIC-Hinweis und die Bewerbung in zehn Minuten koppeln Sicherheit mit Verfahrensklarheit.,Der Schreibtisch in der Berglandschaft macht unternehmerische Freiheit zur Identitätsaspiration (Google/CEB: Anerkennung als ernstzunehmende Founder).,high,"Filmische Landschaft mit leerem Arbeitsplatz, E-Mail-Feld, Open-account-CTA und rechtlichem Disclaimer."
Raycast,https://www.raycast.com/,typography-led,no,dark,muted,cool,tech-black,identity-color,competence-precision|identity-aspiration|transformation|regulatory-promotion|one-sentence-promise|single-cta,Raycast bietet sich als Abkürzung zu allem in der digitalen Arbeit an.,"Die Attribute fast, ergonomic and reliable verdichten Fiske-Kompetenz ohne Bildbeleg.",Der einzelne Mac-Download übersetzt das Shortcut-Versprechen in eine Handlung.,high,"Schwarzer Typografie-Hero, weißer Download-CTA, Homebrew-Hinweis, kein Produkt- oder Menschenbild."
Resend,https://resend.com/,typography-led,no,dark,muted,cool,tech-black,none,competence-precision|identity-aspiration|loss-aversion|regulatory-prevention|transformation|one-sentence-promise,"Resend adressiert Entwicklerinnen direkt: E-Mail, die Menschen statt Spamordner erreicht.",Die knappe Zielgruppenansprache und das Skalierungsversprechen signalisieren technische Spezialisierung.,Der Gegensatz Menschen vs. Spamordner rahmt nach Kahneman/Tversky den Zustellungsverlust und bietet Prevention.,high,"Dunkle serifenlastige Bühne mit Get-started und Documentation, ohne Bildanker."
Cal.com,https://cal.com/,mixed:product-ui+typography-led (product-ui dominates),no,light,muted,cool,clinical-white,identity-color,social-proof-logos|competence-precision|transformation|regulatory-promotion|product-as-demo|one-sentence-promise,"Cal.com verspricht einen besseren, vollständig anpassbaren Weg zur Terminplanung.",Das live wirkende Buchungswidget plus Trustpilot-/G2-Signale im Folgescroll demonstrieren Funktionsfähigkeit.,Das Kalenderbeispiel macht reibungslose Planung unmittelbar erlebbar.,high,"Split-Hero: Nutzenversprechen links, große Terminbuchungsoberfläche rechts; Mini-Avatar zählt nicht als Human-Hero."
Lattice,https://lattice.com/,mixed:typography-led+product-ui (typography-led dominates),no,light,muted,mixed,clinical-white,identity-color,social-proof-logos|social-proof-numbers|warmth-belonging|competence-precision|identity-aspiration|transformation|regulatory-promotion|product-as-demo|one-sentence-promise,Lattice verbindet People + AI mit dem Versprechen gemeinsamer Leistung.,Über 5000 Teams und Logos wie Duolingo und NPR koppeln soziale Bewährtheit mit Plattformkompetenz.,Succeeding Together erzeugt Fiske-Wärme und Higgins-Promotion auf High-Performance-Teams (Google/CEB: Zugehörigkeit).,high,"Große People+AI-Headline, HR-UI-Karten und Kundenleiste trotz Cookie-Banner klar lesbar."
ElevenLabs,https://elevenlabs.io/,mixed:typography-led+abstract-gradient (typography-led dominates),no,light,saturated,mixed,clinical-white,identity-color,competence-precision|identity-aspiration|transformation|regulatory-promotion|product-as-demo|one-sentence-promise,"ElevenLabs verspricht, Technologie durch Stimme zum Leben zu erwecken.","Die Aufteilung in Creative, Agents und API plus Enterprise-Ansprache signalisiert Systemkompetenz.",Farbige Klangkörper und die abspielbare Narrationsprobe machen kreative Transformation hörbar.,high,"Helle Bühne, Headline links, abstrakte Sphären und Produktreiter darunter."
Aesop,https://www.aesop.com/,typography-led,no,light,muted,cool,clinical-white,none,privacy-safety,Statt eines Markenversprechens empfängt eine Cloudflare-Sicherheitsprüfung.,"Der Bot-Schutz ist das einzige sichtbare Vertrauenssignal und stammt von Cloudflare, nicht von Aesop.",Ein Begehrensimpuls der Marke ist hinter der Verifizierung nicht sichtbar.,low,"Hero und Scroll zeigen ausschließlich die Cloudflare-Wall (Aesop-Favicon, Verify you are human); die eigentliche Homepage blieb unerreichbar."
